Ensemble,Sample size, compression size, compression time, lossless on trainset, lossless on testset
FICO 1,1000,33,22.512859344482422,0.99171359,0.98565966
FICO 2,1000,27,17.718523025512695,0.99256348,0.99330784
FICO 3,1000,31,15.053537130355835,0.99723786,0.99904398
FICO 4,1000,26,26.929343700408936,0.99861893,1.
FICO 5,1000,23,9.182783126831055,0.99553809,0.99713193
FICO 6,1000,34,13.254840850830078,0.99224477,0.99521989
FICO 7,1000,28,20.8170804977417,0.99596303,0.99617591
FICO 8,1000,34,24.367701292037964,0.99373207,0.99426386
FICO 9,1000,38,40.229591369628906,0.99660045,0.99426386
FICO 10,1000,32,17.696953296661377,0.99808795,0.99904306
COMPAS-ProPublica 1,1000,21,13.91530156135559,0.99967825,1.
COMPAS-ProPublica 2,1000,18,7.778730392456055,0.99662162,0.99855282
COMPAS-ProPublica 3,1000,32,7.563198804855347,0.98536036,0.98408104
COMPAS-ProPublica 4,1000,18,13.770827293395996,0.99983912,1.
COMPAS-ProPublica 5,1000,17,8.015315771102905,0.98600386,0.9869754
COMPAS-ProPublica 6,1000,19,8.468413829803467,1.,1.
COMPAS-ProPublica 7,1000,23,7.916875123977661,0.99951737,0.99855282
COMPAS-ProPublica 8,1000,20,7.675724744796753,0.99420943,0.9942029
COMPAS-ProPublica 9,1000,21,12.840957164764404,1.,1.
COMPAS-ProPublica 10,1000,21,9.7157883644104,0.99758726,0.99565217
HTRU2 1,1000,5,7.33335280418396,0.99993792,1.
HTRU2 2,1000,5,7.308520078659058,0.99993792,1.
HTRU2 3,1000,9,7.344540596008301,0.99925503,0.99944134
HTRU2 4,1000,5,7.295672416687012,0.99993792,1.
HTRU2 5,1000,3,7.258352041244507,0.99925503,1.
HTRU2 6,1000,9,7.268396854400635,0.99987584,0.99944134
HTRU2 7,1000,5,7.24020528793335,0.99962751,1.
HTRU2 8,1000,5,7.258901357650757,0.9986963,0.99888268
HTRU2 9,1000,7,7.239712476730347,0.99981377,1.
HTRU2 10,1000,6,7.264492511749268,0.99590291,0.99720514
Pima-Diabetes 1,1000,15,6.25288462638855,0.98263386,0.98701299
Pima-Diabetes 2,1000,20,6.156859874725342,0.98842258,1.
Pima-Diabetes 3,1000,11,6.0774781703948975,0.98986975,1.
Pima-Diabetes 4,1000,19,6.027007341384888,0.98408104,0.97402597
Pima-Diabetes 5,1000,13,6.343770503997803,0.98842258,0.97402597
Pima-Diabetes 6,1000,16,6.159862756729126,0.98263386,0.97402597
Pima-Diabetes 7,1000,15,6.407094955444336,0.98986975,1.
Pima-Diabetes 8,1000,14,7.175123691558838,0.98552822,1.
Pima-Diabetes 9,1000,17,6.098429203033447,0.99566474,0.98684211
Pima-Diabetes 10,1000,21,6.57139778137207,0.98121387,1.